,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
0,65438,7,31,2,0,sourcing,1,35,5.0,8,1,0,49,0
1,65141,4,14,0,1,other,1,30,5.0,4,0,0,60,0
2,7513,7,10,0,1,sourcing,1,34,3.0,7,0,0,50,0
3,2542,7,15,0,1,other,2,39,1.0,10,0,0,50,0
4,48945,8,18,0,1,other,1,45,3.0,2,0,0,73,0
5,58896,0,11,0,1,sourcing,2,31,3.0,7,0,0,85,0
6,20379,4,12,0,0,other,1,31,3.0,5,0,0,59,0
7,16290,4,27,2,1,sourcing,1,33,3.0,6,0,0,63,0
8,73202,0,12,0,1,other,1,28,4.0,5,0,0,83,0
9,28911,7,0,2,1,sourcing,1,32,5.0,5,1,0,54,0
10,29934,8,15,0,1,sourcing,1,30,3.329255780917055,1,0,0,77,0
11,49017,7,31,0,0,sourcing,1,35,5.0,3,1,0,50,1
12,60051,7,28,0,1,sourcing,1,49,5.0,5,1,0,49,0
13,38401,8,21,2,1,other,2,39,3.0,16,0,0,80,0
14,77040,6,11,2,1,sourcing,1,37,3.0,7,0,0,84,0
15,43931,4,31,0,1,other,1,37,1.0,10,0,0,60,0
16,7152,8,11,0,1,other,1,38,3.0,5,1,0,77,0
17,9403,7,24,0,1,other,1,34,1.0,4,0,0,51,0
18,17436,7,24,0,1,other,1,34,5.0,8,1,0,46,0
19,54461,4,6,0,1,other,1,37,3.0,9,0,0,59,0
20,12067,5,5,0,1,other,1,35,3.0,7,0,0,75,0
21,33332,4,6,0,1,sourcing,1,41,4.0,11,0,0,57,0
22,58789,1,2,0,0,other,1,28,3.0,4,0,0,63,0
23,71177,5,29,0,1,other,1,27,3.329255780917055,1,0,0,70,0
24,52057,1,14,2,1,sourcing,2,39,5.0,7,0,0,59,0
25,26585,8,14,0,1,other,1,27,5.0,3,1,0,83,0
26,37749,5,18,0,1,other,1,31,5.0,4,1,0,68,0
27,2370,8,18,0,1,other,1,33,4.0,4,0,0,79,0
28,8219,0,29,0,1,other,1,29,5.0,3,1,0,80,0
29,74759,7,28,0,1,sourcing,1,26,3.329255780917055,1,0,0,44,0
30,27395,5,6,0,1,sourcing,1,37,5.0,10,1,0,72,0
31,58536,1,24,0,1,other,2,26,1.0,2,0,0,61,0
32,35465,7,31,0,0,sourcing,1,24,1.0,2,0,0,48,0
33,51756,4,11,0,1,sourcing,2,57,4.0,6,0,0,58,0
34,57011,0,14,0,1,other,2,27,5.0,3,1,0,87,0
35,77064,7,14,0,1,other,1,40,2.0,4,1,0,47,0
36,64062,8,20,0,1,sourcing,1,33,4.0,4,1,0,75,0
37,47123,7,31,0,0,sourcing,1,40,5.0,3,0,0,47,0
38,56275,7,0,2,1,other,1,42,5.0,5,1,0,51,0
39,58304,7,20,0,1,sourcing,1,33,5.0,6,1,0,51,1
40,25014,8,6,0,1,other,1,34,3.0,10,0,0,80,0
41,40097,4,11,0,0,other,2,23,4.0,2,1,0,57,0
42,23560,2,11,0,1,sourcing,1,59,4.0,26,1,0,52,0
43,17423,7,11,0,1,other,3,24,2.0,2,0,0,48,0
44,61758,0,11,0,1,other,1,44,5.0,12,0,0,88,0
45,75009,5,8,0,0,sourcing,1,50,5.0,11,0,0,71,0
46,17876,5,4,2,0,other,1,37,4.0,4,0,0,71,0
47,36924,8,7,0,1,sourcing,1,40,3.0,11,0,0,80,0
48,50408,7,12,0,1,sourcing,1,30,3.0,3,1,0,49,0
49,18013,5,11,2,0,sourcing,1,56,3.0,12,0,0,73,0
50,24104,1,11,0,1,sourcing,1,20,4.0,2,1,0,60,0
51,32083,7,17,0,0,sourcing,1,31,3.0,8,0,0,48,0
52,38330,5,6,0,1,sourcing,1,40,3.0,12,1,0,65,0
53,33690,2,14,0,1,other,1,30,1.0,6,0,0,50,0
54,73161,4,14,0,1,other,1,39,3.0,5,1,0,62,0
55,13596,0,24,0,1,other,2,26,2.0,2,0,0,85,0
56,45709,7,24,0,0,other,1,29,3.329255780917055,1,0,0,49,0
57,32709,6,14,2,1,sourcing,1,40,3.0,5,1,0,84,0
58,26599,7,7,0,1,other,2,27,3.329255780917055,1,1,0,47,0
59,32656,7,10,0,1,other,1,40,4.0,7,0,0,52,0
60,17673,7,28,2,1,other,1,50,4.0,17,1,0,47,1
61,3113,7,21,0,1,sourcing,1,25,3.0,3,0,0,53,0
62,9150,0,14,0,0,other,1,28,3.329255780917055,1,1,0,80,0
63,14107,7,0,2,1,sourcing,1,35,4.0,2,1,0,52,0
64,58747,6,18,0,1,other,1,34,5.0,5,0,0,87,0
65,3342,4,4,2,0,sourcing,1,31,3.0,3,1,0,58,0
66,77981,1,14,0,1,other,1,27,3.329255780917055,1,1,1,58,1
67,16502,7,14,0,1,sourcing,1,27,3.329255780917055,1,0,0,61,1
68,73729,5,1,0,1,other,1,30,4.0,6,1,0,75,0
69,45624,0,24,0,1,other,1,30,3.0,7,1,0,84,1
70,75677,4,14,0,0,other,1,50,5.0,5,1,0,59,0
71,24040,8,14,2,1,other,1,34,5.0,7,1,0,78,1
72,68082,7,11,2,0,sourcing,1,41,1.0,12,0,0,52,0
73,51786,7,7,0,1,sourcing,1,32,4.0,6,0,0,44,0
74,77577,7,31,0,1,other,1,50,3.0,14,0,0,52,0
75,54782,7,11,2,1,sourcing,1,38,4.0,2,1,0,49,1
76,52368,7,19,0,1,sourcing,2,29,1.0,5,0,0,51,0
77,75103,7,23,0,1,sourcing,1,35,4.0,3,1,0,53,0
78,7520,0,11,0,1,other,1,25,3.0,2,1,0,91,0
79,59147,7,14,0,1,sourcing,1,30,3.0,3,0,0,58,1
80,53092,8,11,0,1,referred,1,47,3.0,7,0,0,79,0
81,34564,4,28,2,1,sourcing,1,35,2.0,7,0,0,53,0
82,66013,7,11,0,1,sourcing,2,25,3.0,2,0,0,53,0
83,77135,6,14,0,1,other,1,36,4.0,8,0,0,82,0
84,44575,3,31,0,1,other,1,29,3.329255780917055,1,0,0,65,1
85,47498,4,2,2,0,sourcing,1,42,5.0,11,1,0,60,1
86,20798,2,12,0,0,sourcing,1,28,2.0,6,0,0,52,0
87,69094,7,11,0,1,sourcing,1,39,1.0,9,0,0,49,0
88,22261,5,31,2,1,sourcing,1,32,5.0,3,1,0,69,1
89,9589,7,24,0,0,other,1,31,3.329255780917055,1,0,0,51,0
90,62658,7,11,0,0,sourcing,1,20,3.329255780917055,1,0,0,55,0
91,21628,0,3,0,1,other,1,34,3.0,8,0,0,85,0
92,68484,5,11,2,1,sourcing,2,46,4.0,3,1,0,74,0
